Timestamp;Pwh_prod;Qs;Qp;T_p_in;T_p_out;T_s_in;T_s_out;ESP_freq;ESP_Pin;ESP_Pout;ESP_Head;Sep_Pin;Sep_Pout;FilterA_Pin;FilterA_Pout;FilterA_PDrop;HEX_Pin;HEX_Pout;HEX_PDrop;FilterB_Pin;FilterB_Pout;FilterB_PDrop;InjectorPump_Pin;InjectorPump_Pout;InjectorPump_PowerDraw;ESP_PowerDraw;Thermal_PowerGen;esp_status;hex_status;filterA_status;filterB_status
2024-06-07 15:30:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 15:45:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 16:00:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 16:15:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 16:30:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 16:45:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 17:00:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 17:15:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 17:30:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 17:45:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 18:00:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 18:15:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 18:30:00;9.963;160.0;149.257;80;20.629;20.324;75.708;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10855270.105;Normal;Normal;Normal;Normal
2024-06-07 18:45:00;9.963;160.0;149.257;80;20.629;20.324;75.708;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10855270.105;Normal;Normal;Normal;Normal
2024-06-07 19:00:00;9.963;160.0;149.257;80;20.629;20.324;75.708;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10855270.105;Normal;Normal;Normal;Normal
